"ID","A1","A2","A3","A4","D1","D2","D3","D4","L1","L2","L3","L4","S1","S3","S4","S5","Gene.name"
"ENSRNOG00000051366",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07007833.1"
"ENSRNOG00000054044",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00560"
"ENSRNOG00000059805",0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,"AABR07007839.1"
"ENSRNOG00000017712",0,0,1,1,0,0,1,0,22,0,1,5,2,1,0,5,"Cartpt"
"ENSRNOG00000052960",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00421"
"ENSRNOG00000017752",969,1181,1110,1307,78,54,71,87,1727,1593,1653,1757,1337,1812,1754,1770,"Mccc2"
"ENSRNOG00000017864",74,49,74,129,108,173,172,201,81,267,137,140,239,174,142,136,"Bdp1"
"ENSRNOG00000017945",55,9,60,56,5,5,9,21,59,35,40,43,27,38,34,42,"Serf1"
"ENSRNOG00000018067",109,117,167,115,66,83,131,232,304,411,296,331,453,318,275,360,"Smn1"
"ENSRNOG00000033693",10,9,35,11,156,287,272,293,73,36,43,126,32,45,41,29,"AC135826.1"
"ENSRNOG00000018230",92,107,134,127,58,95,143,174,225,255,226,224,239,213,201,209,"Gtf2h2"
"ENSRNOG00000018297",329,423,419,355,12,12,11,14,330,453,406,480,349,403,371,411,"Ocln"
"ENSRNOG00000057801",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00015"
"ENSRNOG00000052167",124,127,111,139,10,5,2,4,138,170,136,183,129,187,160,155,"Marveld2"
"ENSRNOG00000018353",125,129,122,121,69,101,151,319,237,330,310,269,308,289,279,293,"Rad17"
"ENSRNOG00000039848",133,106,162,158,44,43,78,135,243,340,234,268,343,241,242,259,"Ak6"
"ENSRNOG00000051258",18,25,29,21,25,26,43,74,49,62,63,64,72,67,61,59,"Taf9"
"ENSRNOG00000027410",94,285,153,101,90,143,130,179,306,407,307,458,306,345,303,317,"Ccdc125"
"ENSRNOG00000018510",202,206,255,239,72,113,116,237,329,425,323,359,401,395,321,385,"Cdk7"
"ENSRNOG00000061213",231,348,294,270,64,68,120,229,483,447,498,413,412,471,437,474,"Mrps36"
"ENSRNOG00000018615",52,13,39,47,99,150,301,463,166,368,278,243,370,233,228,278,"Cenph"
