"","X242.Adult","X242.Fetal","X243.Adult","X243.Fetal","X248.Adult","X248.Fetal","X249.Adult","X249.Fetal"
"ENSRNOG00000047427",18.9465036498592,16.511958620104,23.3823942422267,25.7758309799691,20.4346068206609,20.9005748452582,22.7087622833881,19.6347042454316
"ENSRNOG00000047436",5.23384078725392,8.22360292060083,3.48990958839204,4.61092577647541,6.4932395504904,6.52451807338748,4.01842295549666,3.70254422913852
"ENSRNOG00000047439",3.34965810384251,0.841786125730794,2.79192767071364,3.47709156914539,1.81428752146055,2.76462630228283,2.05593732606806,2.30006535446484
"ENSRNOG00000047444",0.732737710215549,1.74832503036396,0.76778010944625,0.907067365864014,0.763910535351811,1.21643557300445,0.6541618764762,2.131767889504
"ENSRNOG00000047446",0.523384078725392,0.971291683535532,0.0697981917678409,0.680300524398011,0,0.884680416730506,0.934516966394572,1.23418140971284
"ENSRNOG00000047447",1.25612178894094,0.194258336707106,1.32616564358898,1.88972367888336,2.96015332448827,3.20696651064808,1.9624856294286,2.07566873451705
"ENSRNOG00000047450",1.36079860468602,0.712280567926057,0.558385534142727,1.05824526017468,4.48797439519189,1.21643557300445,1.49522714623132,2.18786704449094
"ENSRNOG00000047453",14.0266933098405,13.7275891273022,17.0307587913532,13.9083662765815,19.4797186514712,14.9289820323273,12.6159790463267,13.6881938168151
"ENSRNOG00000047454",1.4654754204311,2.33110004048528,3.35031320485636,2.94796893905805,6.58872836740937,1.6587757813697,1.3083237529524,2.0195695795301
"ENSRNOG00000047455",0.732737710215549,6.47527789023688,1.5355602188925,4.76210367078607,3.6285750429211,8.18329385475718,4.29877804541503,5.60991549869473
"ENSRNOG00000047456",19.1558572813494,25.3830893297286,17.100556983121,17.5366357400376,14.1323449040085,11.8326005737705,23.5498275531432,19.185911005536
"ENSRNOG00000047457",19.4698877285846,16.0586891677875,18.2871262431743,18.746058894523,13.7503896363326,13.7125464593228,16.9147570917418,15.0906726914888
"ENSRNOG00000047459",58.9330472644792,43.5138674223918,60.096243112111,70.2221319073058,33.3255971047228,40.8058842216946,91.3023076167497,60.0821949910206
"ENSRNOG00000047466",2.72159720937204,1.55406669365685,1.04697287651761,3.47709156914539,5.34737374746268,3.75989177110465,1.3083237529524,5.2172214137861
