"","logFC","logCPM","LR","PValue","FDR","ENSEMBL"
"203","-3.2048907"," 6.8584669021","266.133923"," 7.898161e-60"," 3.486799e-58","ENSRNOG00000011929"
"204","-4.8194538"," 8.1188559946","265.838390"," 9.160933e-60"," 4.005879e-58","ENSRNOG00000018899"
"205","-4.2000997"," 6.3600825900","265.332552"," 1.180841e-59"," 5.147276e-58","ENSRNOG00000000800"
"206","-6.8822323"," 7.1066984221","264.304234"," 1.978450e-59"," 8.543192e-58","ENSRNOG00000015354"
"207","-4.6142964"," 4.1621447231","263.915212"," 2.405013e-59"," 1.035279e-57","ENSRNOG00000011425"
"208","-4.7657181"," 5.5497472724","263.797819"," 2.550968e-59"," 1.094698e-57","ENSRNOG00000000658"
"209","-3.9599098"," 4.8096719928","263.748053"," 2.615484e-59"," 1.118909e-57","ENSRNOG00000020466"
"210","-3.9020728"," 4.5796738243","263.568265"," 2.862461e-59"," 1.220787e-57","ENSRNOG00000001183"
"211","-5.5006421"," 5.1800753630","263.253821"," 3.351794e-59"," 1.420708e-57","ENSRNOG00000002832"
"212","-4.3035889"," 5.6893273784","262.923372"," 3.956437e-59"," 1.666770e-57","ENSRNOG00000058271"
"213","-3.7802012"," 5.1883358750","262.801577"," 4.205828e-59"," 1.766448e-57","ENSRNOG00000000900"
"214","-5.0594084"," 4.4860418719","262.209143"," 5.662176e-59"," 2.363745e-57","ENSRNOG00000016099"
"215","-4.8227000"," 5.2314369957","262.168276"," 5.779513e-59"," 2.398237e-57","ENSRNOG00000016717"
"216","-3.8171140"," 6.3796643394","260.765241"," 1.168727e-58"," 4.763854e-57","ENSRNOG00000015911"
"217","-5.1006924"," 7.7155213575","259.933786"," 1.773982e-58"," 7.167510e-57","ENSRNOG00000043404"
"218","-3.7957730"," 4.6779180871","259.241859"," 2.510578e-58"," 1.005541e-56","ENSRNOG00000036798"
"219","-4.9030306"," 5.5345202237","259.167940"," 2.605472e-58"," 1.040532e-56","ENSRNOG00000012189"
"220","-4.7255109"," 8.0834520773","258.585519"," 3.490136e-58"," 1.389818e-56","ENSRNOG00000009845"
"221","-5.3076722"," 5.4677162991","258.412758"," 3.806283e-58"," 1.511357e-56","ENSRNOG00000017120"
"222","-4.7785347"," 8.4428074581","258.374971"," 3.879162e-58"," 1.531493e-56","ENSRNOG00000012786"
"223","-4.6051813"," 5.4099777861","258.133361"," 4.379296e-58"," 1.724020e-56","ENSRNOG00000047781"
"224","-3.5660358"," 4.5908096304","257.949140"," 4.803540e-58"," 1.880321e-56","ENSRNOG00000038166"
"225","-4.7154336"," 6.2086452729","257.524903"," 5.943441e-58"," 2.319957e-56","ENSRNOG00000006019"
"226","-6.1990015"," 4.5365223229","257.344629"," 6.506312e-58"," 2.532513e-56","ENSRNOG00000011184"
"227","-4.1854842"," 5.7422973677","256.137591"," 1.192485e-57"," 4.615618e-56","ENSRNOG00000059579"
"228","-5.0245321"," 6.9454084524","254.676659"," 2.482692e-57"," 9.529400e-56","ENSRNOG00000011747"
"229","-6.7507846"," 3.9935259088","253.656627"," 4.142712e-57"," 1.585706e-55","ENSRNOG00000020775"
"230","-5.5030430"," 7.7872246510","252.851317"," 6.206414e-57"," 2.369067e-55","ENSRNOG00000000184"
"231","-5.0682257"," 4.9693250722","252.491818"," 7.433808e-57"," 2.821988e-55","ENSRNOG00000047714"
"232","-3.6791610"," 4.9630817668","251.944203"," 9.785710e-57"," 3.704629e-55","ENSRNOG00000031090"
"233","-5.0015563"," 6.3286798419","251.248238"," 1.387763e-56"," 5.225097e-55","ENSRNOG00000009096"
"234","-3.3088824"," 5.9049234280","250.995361"," 1.575592e-56"," 5.916176e-55","ENSRNOG00000014617"
"235","-3.9914643"," 5.3251235918","250.848975"," 1.695730e-56"," 6.350025e-55","ENSRNOG00000003694"
"236","-4.0419974"," 6.1826920717","250.765534"," 1.768265e-56"," 6.603752e-55","ENSRNOG00000005849"
"237","-5.5462406"," 6.4031539706","250.353988"," 2.174039e-56"," 8.097271e-55","ENSRNOG00000011068"
"238","-4.3551237"," 7.1333110427","250.129674"," 2.433154e-56"," 9.037991e-55","ENSRNOG00000007133"
"239","-3.8247676"," 8.0371836509","249.672994"," 3.060061e-56"," 1.130586e-54","ENSRNOG00000021097"
"240","-3.3804262"," 4.2728305490","249.658973"," 3.081675e-56"," 1.135536e-54","ENSRNOG00000011417"
"241","-5.3065374"," 4.2652954855","248.199241"," 6.412494e-56"," 2.325665e-54","ENSRNOG00000009153"
"242","-4.4273180"," 5.2433098434","247.341149"," 9.865186e-56"," 3.531532e-54","ENSRNOG00000021916"
"243","-3.9856451"," 6.4876735576","247.300152"," 1.007033e-55"," 3.595653e-54","ENSRNOG00000051235"
"244","-3.9764823"," 4.5989327516","247.249816"," 1.032803e-55"," 3.678164e-54","ENSRNOG00000017525"
